time:s,CH1:W,Average
1.15,0.232,0.4112
1.16,0.488,0.4152
1.17,0.232,0.4384
1.18,0.568,0.4928
1.19,0.648,0.4648
1.2,0.296,0.4576
1.21,0.256,0.46
1.22,0.544,0.4912
1.23,0.272,0.4664
1.24,0.576,0.4648
1.25,0.272,0.4592
1.26,0.72,0.4592
1.27,0.776,0.4456
1.28,0.288,0.4008
1.29,0.576,0.4488
1.3,0.32,0.46
1.31,0.568,0.4568
1.32,0.296,0.4312
1.33,0.256,0.4696
1.34,0.52,0.4712
1.35,0.272,0.488
1.36,0.584,0.5288
1.37,0.328,0.4984
1.38,0.768,0.4984
1.39,0.688,0.4896
1.4,0.288,0.4896
1.41,0.312,0.4896
1.42,0.68,0.4904
1.43,0.272,0.4904
1.44,0.688,0.4896
1.45,0.68,0.4888
1.46,0.28,0.4888
1.47,0.328,0.4896
1.48,0.68,0.4888
1.49,0.688,0.476
1.5,0.288,0.4672
1.51,0.32,0.4672
1.52,0.68,0.464
1.53,0.264,0.4504
1.54,0.68,0.448
1.55,0.68,0.4336
1.56,0.288,0.3976
1.57,0.32,0.4376
1.58,0.552,0.4768
1.59,0.6,0.4608
1.6,0.288,0.4336
1.61,0.288,0.4736
1.62,0.544,0.5192
1.63,0.24,0.5008
1.64,0.536,0.5512
1.65,0.32,0.5352
1.66,0.688,0.5768
1.67,0.712,0.5504
1.68,0.392,0.516
1.69,0.328,0.5512
1.7,0.688,0.5576
1.71,0.744,0.5632
1.72,0.36,0.5632
1.73,0.744,0.5568
1.74,0.376,0.5448
1.75,0.736,0.5344
1.76,0.424,0.4936
1.77,0.368,0.5072
1.78,0.744,0.5024
1.79,0.392,0.4832
1.8,0.744,0.4984
1.81,0.744,0.4536
1.82,0.296,0.4064
1.83,0.624,0.4384
1.84,0.272,0.4024
1.85,0.328,0.4352
1.86,0.56,0.4328
1.87,0.32,0.4336
1.88,0.552,0.4576
1.89,0.544,0.4264
1.9,0.296,0.396
1.91,0.272,0.412
1.92,0.616,0.4424
1.93,0.264,0.404
1.94,0.6,0.4288
1.95,0.304,0.3912
1.96,0.568,0.4112
1.97,0.56,0.3768
1.98,0.24,0.3448
1.99,0.24,0.372
2,0.456,0.3712
2.01,0.576,0.376
2.02,0.232,0.3416
2.03,0.512,0.3672
2.04,0.224,0.3384
2.05,0.504,0.3664
2.06,0.224,0.3392
2.07,0.24,0.3664
2.08,0.512,0.3648
2.09,0.232,0.364
2.1,0.504,0.3648
2.11,0.232,0.3648
2.12,0.488,0.3616
2.13,0.224,0.3624
2.14,0.504,0.3632
2.15,0.232,0.364
2.16,0.496,0.364
2.17,0.224,0.3632
2.18,0.504,0.3648
2.19,0.24,0.3632
2.2,0.504,0.36
2.21,0.2,0.3592
2.22,0.496,0.3616
2.23,0.232,0.3624
2.24,0.512,0.3592
2.25,0.232,0.3576
2.26,0.488,0.3568
2.27,0.24,0.3584
2.28,0.488,0.356
2.29,0.208,0.356
2.3,0.496,0.3584
2.31,0.224,0.3584
2.32,0.504,0.3856
2.33,0.2,0.356
2.34,0.496,0.3592
2.35,0.224,0.36
2.36,0.504,0.3608
2.37,0.216,0.36
2.38,0.488,0.3616
2.39,0.232,0.3632
2.4,0.496,0.3632
2.41,0.496,0.364
2.42,0.208,0.3368
2.43,0.232,0.3656
2.44,0.504,0.3616
2.45,0.232,0.3608
2.46,0.496,0.3624
2.47,0.232,0.3624
2.48,0.504,0.3896
2.49,0.232,0.3632
2.5,0.504,0.3888
2.51,0.224,0.3624
2.52,0.496,0.3904
2.53,0.192,0.364
2.54,0.496,0.368
2.55,0.248,0.3688
2.56,0.496,0.3648
2.57,0.504,0.3656
2.58,0.24,0.3376
2.59,0.488,0.364
2.6,0.24,0.3376
2.61,0.504,0.3672
2.62,0.232,0.3384
2.63,0.232,0.3656
2.64,0.504,0.3656
2.65,0.208,0.3656
2.66,0.504,0.368
2.67,0.224,0.3664
2.68,0.504,0.364
2.69,0.224,0.364
2.7,0.536,0.392
2.71,0.216,0.3608
2.72,0.504,0.3616
2.73,0.232,0.3616
2.74,0.504,0.3584
2.75,0.232,0.3576
2.76,0.488,0.3584
2.77,0.2,0.36
2.78,0.504,0.3624
2.79,0.504,0.3624
2.8,0.224,0.3344
2.81,0.224,0.3616
2.82,0.504,0.3608
2.83,0.2,0.36
2.84,0.496,0.3632
2.85,0.24,0.364
2.86,0.504,0.364
2.87,0.224,0.3632
2.88,0.504,0.364
2.89,0.224,0.364
2.9,0.496,0.3648
2.91,0.216,0.364
2.92,0.496,0.3664
2.93,0.232,0.3664
2.94,0.504,0.368
2.95,0.24,0.368
2.96,0.496,0.3672
2.97,0.232,0.3664
2.98,0.504,0.3648
2.99,0.232,0.364
3,0.488,0.36
3.01,0.24,0.3608
3.02,0.496,0.3608
3.03,0.248,0.3616
3.04,0.504,0.36
3.05,0.232,0.36
3.06,0.488,0.36
3.07,0.216,0.3608
3.08,0.496,0.3624
3.09,0.192,0.3632
3.1,0.496,0.364
3.11,0.24,0.364
3.12,0.504,0.3632
3.13,0.232,0.3632
3.14,0.504,0.3624
3.15,0.232,0.3592
3.16,0.496,0.3576
3.17,0.232,0.3584
3.18,0.504,0.384
3.19,0.2,0.3568
3.2,0.496,0.36
3.21,0.232,0.3608
3.22,0.504,0.3616
3.23,0.224,0.36
3.24,0.472,0.3576
3.25,0.216,0.3608
3.26,0.504,0.3896
3.27,0.488,0.3632
3.28,0.232,0.3376
3.29,0.232,0.3632
3.3,0.504,0.3632
3.31,0.24,0.3632
3.32,0.488,0.3632
3.33,0.2,0.3648
3.34,0.504,0.3672
3.35,0.504,0.3672
3.36,0.24,0.34
3.37,0.232,0.3664
3.38,0.488,0.3664
3.39,0.232,0.3664
3.4,0.504,0.3664
3.41,0.24,0.3664
3.42,0.504,0.3928
3.43,0.224,0.3664
3.44,0.504,0.3672
3.45,0.232,0.3664
3.46,0.504,0.3656
3.47,0.232,0.3656
3.48,0.488,0.364
3.49,0.232,0.3656
3.5,0.504,0.3632
3.51,0.504,0.3616
3.52,0.24,0.3336
3.53,0.232,0.3592
3.54,0.496,0.36
3.55,0.224,0.3592
3.56,0.504,0.3592
3.57,0.216,0.3584
3.58,0.504,0.356
3.59,0.208,0.3552
3.6,0.488,0.3808
3.61,0.224,0.3568
3.62,0.496,0.3568
3.63,0.24,0.3576
3.64,0.488,0.3568
3.65,0.224,0.3584
3.66,0.496,0.3584
3.67,0.192,0.3576
3.68,0.496,0.3616
3.69,0.464,0.3616
3.7,0.248,0.3392
3.71,0.224,0.3632
3.72,0.504,0.364
3.73,0.232,0.364
3.74,0.504,0.3648
3.75,0.224,0.364
3.76,0.488,0.3648
3.77,0.232,0.3664
3.78,0.496,0.3664
3.79,0.24,0.3648
3.8,0.488,0.3648
3.81,0.232,0.3656
3.82,0.504,0.3648
3.83,0.24,0.364
3.84,0.496,0.364
3.85,0.232,0.3632
3.86,0.504,0.3632
3.87,0.232,0.3624
3.88,0.48,0.364
3.89,0.24,0.3648
3.9,0.496,0.364
3.91,0.224,0.364
3.92,0.496,0.3648
3.93,0.24,0.3656
3.94,0.488,0.3648
3.95,0.232,0.3648
3.96,0.496,0.3656
3.97,0.248,0.3664
3.98,0.488,0.3616
3.99,0.232,0.3632
4,0.496,0.364
4.01,0.232,0.3648
4.02,0.504,0.364
4.03,0.232,0.3632
4.04,0.488,0.364
4.05,0.24,0.3648
4.06,0.504,0.3632
4.07,0.2,0.3632
4.08,0.504,0.3648
4.09,0.24,0.364
4.1,0.504,0.3632
4.11,0.224,0.3656
4.12,0.496,0.3672
4.13,0.24,0.3672
4.14,0.496,0.3664
4.15,0.224,0.3664
4.16,0.504,0.3664
4.17,0.216,0.3656
4.18,0.496,0.3648
4.19,0.232,0.3648
4.2,0.528,0.364
4.21,0.24,0.3608
4.22,0.496,0.36
4.23,0.232,0.3592
4.24,0.496,0.3592
4.25,0.224,0.36
4.26,0.496,0.3616
4.27,0.208,0.3624
4.28,0.496,0.3632
4.29,0.224,0.364
4.3,0.496,0.392
4.31,0.232,0.3648
4.32,0.488,0.3648
4.33,0.232,0.3664
4.34,0.504,0.3928
4.35,0.24,0.3656
4.36,0.504,0.3616
4.37,0.216,0.3608
4.38,0.504,0.3608
4.39,0.504,0.36
4.4,0.224,0.3344
4.41,0.232,0.3608
4.42,0.504,0.3616
4.43,0.496,0.3584
4.44,0.232,0.3328
4.45,0.2,0.36
4.46,0.496,0.3616
4.47,0.216,0.3608
4.48,0.496,0.3608
4.49,0.248,0.36
4.5,0.488,0.3584
4.51,0.24,0.3584
4.52,0.472,0.3584
4.53,0.24,0.3608
4.54,0.504,0.3608
4.55,0.216,0.364
4.56,0.488,0.3968
4.57,0.216,0.3704
4.58,0.488,0.3728
4.59,0.232,0.3728
4.6,0.488,0.3728
4.61,0.24,0.3728
4.62,0.496,0.3736
4.63,0.24,0.3744
4.64,0.536,0.3736
4.65,0.544,0.3704
4.66,0.224,0.34
4.67,0.24,0.3688
4.68,0.488,0.3648
4.69,0.232,0.3672
4.7,0.488,0.3936
4.71,0.248,0.3688
4.72,0.504,0.3928
4.73,0.232,0.3656
4.74,0.504,0.3928
4.75,0.24,0.3656
4.76,0.512,0.3656
4.77,0.2,0.3648
4.78,0.512,0.3688
4.79,0.496,0.3664
4.8,0.24,0.3408
4.81,0.488,0.3664
4.82,0.232,0.3408
4.83,0.504,0.3672
4.84,0.232,0.34
4.85,0.24,0.368
4.86,0.504,0.3664
4.87,0.24,0.3664
4.88,0.488,0.3648
4.89,0.24,0.3656
4.9,0.496,0.3648
4.91,0.232,0.3656
4.92,0.496,0.3928
4.93,0.232,0.3664
4.94,0.512,0.3672
4.95,0.224,0.3664
4.96,0.504,0.3672
4.97,0.224,0.3672
4.98,0.496,0.3704
4.99,0.232,0.3704
5,0.504,0.3712
5.01,0.504,0.3712
5.02,0.232,0.3424
5.03,0.24,0.3696
5.04,0.504,0.3672
5.05,0.232,0.3672
5.06,0.504,0.3672
5.07,0.256,0.3672
5.08,0.496,0.3664
5.09,0.24,0.3672
5.1,0.504,0.392
5.11,0.216,0.3648
5.12,0.504,0.3928
5.13,0.216,0.3656
5.14,0.504,0.3672
5.15,0.232,0.3656
5.16,0.504,0.3632
5.17,0.248,0.3632
5.18,0.504,0.3624
5.19,0.488,0.3616
5.2,0.232,0.3336
5.21,0.496,0.3608
5.22,0.232,0.3328
5.23,0.232,0.3592
5.24,0.488,0.356
5.25,0.208,0.3576
5.26,0.504,0.3584
5.27,0.24,0.3584
5.28,0.496,0.3568
5.29,0.208,0.3568
5.3,0.504,0.3856
5.31,0.216,0.3592
5.32,0.496,0.3616
5.33,0.2,0.3624
5.34,0.504,0.3632
5.35,0.216,0.3632
5.36,0.504,0.3656
5.37,0.224,0.364
5.38,0.496,0.3648
5.39,0.496,0.3632
5.4,0.24,0.3352
5.41,0.24,0.3608
5.42,0.504,0.3608
5.43,0.208,0.3584
5.44,0.504,0.36
5.45,0.24,0.3592
5.46,0.488,0.3576
5.47,0.232,0.3592
5.48,0.48,0.3864
5.49,0.216,0.3608
5.5,0.496,0.3896
5.51,0.24,0.364
5.52,0.48,0.3632
5.53,0.224,0.3648
5.54,0.496,0.3664
5.55,0.224,0.3672
5.56,0.504,0.368
5.57,0.504,0.3664
5.58,0.224,0.3392
5.59,0.504,0.3672
5.6,0.24,0.34
5.61,0.232,0.368
5.62,0.496,0.3688
5.63,0.24,0.3696
5.64,0.504,0.368
5.65,0.232,0.3672
5.66,0.488,0.3664
5.67,0.232,0.3672
5.68,0.504,0.368
5.69,0.232,0.3664
5.7,0.52,0.3672
5.71,0.24,0.3648
5.72,0.504,0.364
5.73,0.224,0.3624
5.74,0.496,0.3616
5.75,0.224,0.3616
5.76,0.496,0.3624
5.77,0.24,0.3632
5.78,0.488,0.3616
5.79,0.24,0.3616
5.8,0.496,0.3608
5.81,0.232,0.3608
5.82,0.488,0.3584
5.83,0.216,0.3608
5.84,0.496,0.3616
5.85,0.232,0.3624
5.86,0.504,0.3896
5.87,0.224,0.3624
5.88,0.488,0.3624
5.89,0.232,0.3632
5.9,0.496,0.3648
5.91,0.208,0.3656
5.92,0.512,0.368
5.93,0.224,0.3664
5.94,0.504,0.3672
5.95,0.504,0.3656
5.96,0.232,0.3376
5.97,0.224,0.364
5.98,0.496,0.3608
5.99,0.248,0.3608
6,0.504,0.3592
6.01,0.232,0.3584
6.02,0.496,0.3568
6.03,0.232,0.3568
6.04,0.488,0.384
6.05,0.224,0.3592
6.06,0.496,0.3576
6.07,0.192,0.3584
6.08,0.496,0.3616
6.09,0.232,0.3616
6.1,0.496,0.3608
6.11,0.216,0.36
6.12,0.496,0.3888
6.13,0.504,0.3616
6.14,0.24,0.3336
6.15,0.208,0.3592
6.16,0.504,0.3592
6.17,0.224,0.3592
6.18,0.496,0.36
6.19,0.224,0.3608
6.2,0.488,0.36
6.21,0.504,0.3608
6.22,0.224,0.3328
6.23,0.224,0.36
6.24,0.496,0.36
6.25,0.208,0.3608
6.26,0.504,0.3632
6.27,0.232,0.3624
6.28,0.504,0.364
6.29,0.216,0.364
6.3,0.496,0.3648
6.31,0.224,0.3648
6.32,0.496,0.3648
6.33,0.224,0.364
6.34,0.504,0.3648
6.35,0.232,0.364
6.36,0.496,0.3904
6.37,0.248,0.3632
6.38,0.504,0.388
6.39,0.224,0.3624
6.4,0.496,0.3888
6.41,0.224,0.3624
6.42,0.488,0.3632
6.43,0.232,0.3648
6.44,0.496,0.3648
6.45,0.496,0.364
6.46,0.224,0.3384
6.47,0.496,0.3664
6.48,0.248,0.3408
6.49,0.488,0.3664
6.5,0.232,0.3408
6.51,0.232,0.3672
6.52,0.504,0.3928
6.53,0.232,0.3648
6.54,0.488,0.3912
6.55,0.24,0.3648
6.56,0.504,0.3616
6.57,0.24,0.3608
6.58,0.504,0.3864
6.59,0.232,0.3584
6.6,0.496,0.3584
6.61,0.488,0.3576
6.62,0.224,0.3304
6.63,0.496,0.3576
6.64,0.224,0.332
6.65,0.208,0.3592
6.66,0.496,0.3616
6.67,0.496,0.3616
6.68,0.224,0.3352
6.69,0.232,0.3616
6.7,0.488,0.3608
6.71,0.216,0.3616
6.72,0.496,0.3632
6.73,0.24,0.3632
6.74,0.496,0.3896
6.75,0.232,0.3624
6.76,0.496,0.3896
6.77,0.232,0.3608
6.78,0.488,0.3608
6.79,0.224,0.3624
6.8,0.496,0.3632
6.81,0.232,0.3632
6.82,0.496,0.3624
6.83,0.504,0.3632
6.84,0.224,0.3376
6.85,0.504,0.3656
6.86,0.208,0.3384
6.87,0.232,0.3664
6.88,0.504,0.3664
6.89,0.232,0.3656
6.9,0.496,0.3648
6.91,0.224,0.3648
6.92,0.504,0.3936
6.93,0.248,0.3656
6.94,0.504,0.3616
6.95,0.232,0.3616
6.96,0.488,0.388
6.97,0.232,0.3616
6.98,0.496,0.3608
6.99,0.224,0.3624
7,0.496,0.364
7.01,0.512,0.364
7.02,0.224,0.336
7.03,0.208,0.364
7.04,0.504,0.368
7.05,0.496,0.3696
7.06,0.224,0.344
7.07,0.224,0.3704
7.08,0.512,0.3728
7.09,0.24,0.3728
7.1,0.496,0.372
7.11,0.232,0.3768
7.12,0.504,0.3752
7.13,0.248,0.3776
7.14,0.52,0.3768
7.15,0.24,0.376
7.16,0.488,0.3752
7.17,0.248,0.3776
7.18,0.512,0.3768
7.19,0.232,0.3768
7.2,0.544,0.3768
7.21,0.216,0.3744
7.22,0.528,0.376
7.23,0.24,0.3736
7.24,0.512,0.3696
7.25,0.232,0.3688
7.26,0.512,0.3688
7.27,0.24,0.3688
7.28,0.512,0.3944
7.29,0.232,0.3656
7.3,0.52,0.3656
7.31,0.232,0.3624
7.32,0.504,0.3584
7.33,0.2,0.3584
7.34,0.504,0.3632
7.35,0.232,0.364
7.36,0.512,0.364
7.37,0.496,0.3632
7.38,0.224,0.336
7.39,0.232,0.3648
7.4,0.488,0.3648
7.41,0.192,0.3672
7.42,0.504,0.3968
7.43,0.248,0.3688
7.44,0.512,0.3672
7.45,0.232,0.3672
7.46,0.504,0.3952
7.47,0.224,0.3672
7.48,0.512,0.368
7.49,0.232,0.368
7.5,0.512,0.3664
7.51,0.488,0.3672
7.52,0.224,0.3416
7.53,0.232,0.3704
7.54,0.512,0.3712
7.55,0.512,0.3704
7.56,0.224,0.3432
7.57,0.232,0.3704
7.58,0.512,0.3984
7.59,0.216,0.3688
7.6,0.52,0.368
7.61,0.232,0.3648
7.62,0.512,0.3648
7.63,0.24,0.3648
7.64,0.504,0.3912
7.65,0.24,0.36
7.66,0.496,0.36
7.67,0.512,0.3616
7.68,0.216,0.3328
7.69,0.208,0.3624
7.7,0.488,0.3648
7.71,0.232,0.3664
7.72,0.512,0.3936
7.73,0.504,0.3664
7.74,0.192,0.3408
7.75,0.24,0.3712
7.76,0.512,0.3704
7.77,0.224,0.3704
7.78,0.512,0.372
7.79,0.232,0.372
7.8,0.504,0.3728
7.81,0.504,0.3736
7.82,0.24,0.3456
7.83,0.248,0.372
7.84,0.496,0.3976
7.85,0.232,0.3704
7.86,0.512,0.3712
7.87,0.24,0.3704
7.88,0.512,0.3696
7.89,0.24,0.3688
7.9,0.512,0.368
7.91,0.224,0.3672
7.92,0.504,0.3944
7.93,0.504,0.3664
7.94,0.224,0.34
7.95,0.24,0.3688
7.96,0.504,0.368
7.97,0.232,0.3664
7.98,0.504,0.3664
7.99,0.232,0.3656
8,0.504,0.3632
8.01,0.496,0.3632
8.02,0.224,0.3352
8.03,0.24,0.3632
8.04,0.512,0.3632
8.05,0.232,0.3608
8.06,0.488,0.3864
8.07,0.232,0.3608
8.08,0.496,0.3632
8.09,0.208,0.364
8.1,0.504,0.3664
8.11,0.216,0.3656
8.12,0.504,0.3672
8.13,0.24,0.3664
8.14,0.488,0.3632
8.15,0.488,0.3648
8.16,0.232,0.34
8.17,0.256,0.3664
8.18,0.504,0.3632
8.19,0.232,0.3616
8.2,0.496,0.3872
8.21,0.232,0.36
8.22,0.496,0.36
8.23,0.208,0.3608
8.24,0.504,0.364
8.25,0.24,0.3624
8.26,0.496,0.388
8.27,0.224,0.3624
8.28,0.488,0.364
8.29,0.488,0.3648
8.3,0.224,0.3392
8.31,0.232,0.3672
8.32,0.504,0.3672
8.33,0.24,0.3672
8.34,0.488,0.3672
8.35,0.496,0.368
8.36,0.24,0.3416
8.37,0.24,0.3664
8.38,0.496,0.3632
8.39,0.232,0.3632
8.4,0.504,0.3888
8.41,0.232,0.36
8.42,0.504,0.3608
8.43,0.24,0.36
8.44,0.496,0.3856
8.45,0.232,0.3568
8.46,0.488,0.3568
8.47,0.208,0.3576
8.48,0.496,0.36
8.49,0.488,0.3648
8.5,0.216,0.3616
8.51,0.24,0.36
8.52,0.496,0.3808
8.53,0.496,0.3552
8.54,0.208,0.328
8.55,0.232,0.3528
8.56,0.496,0.3752
8.57,0.232,0.3496
8.58,0.544,0.3496
8.59,0.456,0.3408
8.6,0.2,0.3488
8.61,0.448,0.3528
8.62,0.24,0.332
8.63,0.224,0.3536
8.64,0.456,0.376
8.65,0.456,0.3536
8.66,0.24,0.3536
8.67,0.232,0.3528
8.68,0.456,0.3752
8.69,0.536,0.3512
8.7,0.24,0.32
8.71,0.24,0.344
8.72,0.456,0.3432
8.73,0.448,0.3432
8.74,0.232,0.3224
8.75,0.456,0.3448
8.76,0.232,0.3232
8.77,0.456,0.3456
8.78,0.216,0.324
8.79,0.224,0.348
8.8,0.48,0.3704
8.81,0.232,0.3472
8.82,0.456,0.3696
8.83,0.24,0.3448
8.84,0.456,0.344
8.85,0.24,0.344
8.86,0.456,0.344
8.87,0.24,0.344
8.88,0.456,0.3456
8.89,0.448,0.3456
8.9,0.248,0.324
8.91,0.456,0.3448
8.92,0.208,0.3224
8.93,0.232,0.3472
8.94,0.456,0.3696
8.95,0.24,0.3488
8.96,0.456,0.3504
8.97,0.256,0.3504
8.98,0.456,0.3696
8.99,0.232,0.3456
9,0.456,0.3456
9.01,0.232,0.3456
9.02,0.456,0.3456
9.03,0.456,0.3456
9.04,0.248,0.3456
9.05,0.256,0.3448
9.06,0.456,0.3648
9.07,0.448,0.3392
9.08,0.216,0.3184
9.09,0.232,0.344
9.1,0.456,0.3656
9.11,0.232,0.3408
9.12,0.456,0.3408
9.13,0.456,0.3408
9.14,0.24,0.32
9.15,0.456,0.3416
9.16,0.2,0.3408
9.17,0.24,0.344
9.18,0.472,0.3448
9.19,0.448,0.3432
9.2,0.208,0.3216
9.21,0.232,0.3464
9.22,0.456,0.3464
9.23,0.248,0.3464
9.24,0.456,0.3672
9.25,0.448,0.3456
9.26,0.232,0.3464
9.27,0.248,0.348
9.28,0.456,0.348
9.29,0.232,0.3488
9.3,0.456,0.3712
9.31,0.232,0.3464
9.32,0.456,0.3688
9.33,0.456,0.3448
9.34,0.24,0.344
9.35,0.456,0.34
9.36,0.248,0.3184
9.37,0.248,0.3392
9.38,0.464,0.36
9.39,0.456,0.3336
9.4,0.208,0.3128
9.41,0.456,0.3368
9.42,0.216,0.3368
9.43,0.448,0.3376
9.44,0.2,0.316
9.45,0.24,0.3408
9.46,0.456,0.34
9.47,0.456,0.34
9.48,0.2,0.34
9.49,0.248,0.34
9.5,0.448,0.3408
9.51,0.456,0.3416
9.52,0.224,0.3192
9.53,0.232,0.3424
9.54,0.448,0.3648
9.55,0.232,0.3432
9.56,0.456,0.3448
9.57,0.456,0.3448
9.58,0.2,0.3232
9.59,0.256,0.3496
9.6,0.456,0.3696
9.61,0.232,0.3464
9.62,0.456,0.3688
9.63,0.456,0.3456
9.64,0.232,0.3456
9.65,0.248,0.3464
9.66,0.456,0.3672
9.67,0.24,0.344
9.68,0.464,0.3656
9.69,0.456,0.3432
9.7,0.224,0.3432
9.71,0.456,0.3432
9.72,0.224,0.3208
9.73,0.456,0.344
9.74,0.24,0.3456
9.75,0.456,0.344
9.76,0.224,0.3432
9.77,0.456,0.3408
9.78,0.24,0.3408
9.79,0.456,0.3408
9.8,0.224,0.3408
9.81,0.232,0.3424
9.82,0.456,0.3648
9.83,0.472,0.3432
9.84,0.224,0.3416
9.85,0.448,0.3432
9.86,0.2,0.344
9.87,0.456,0.3472
9.88,0.24,0.3472
9.89,0.456,0.3464
9.9,0.24,0.3464
9.91,0.456,0.3432
9.92,0.24,0.3216
9.93,0.456,0.3432
9.94,0.24,0.3216
9.95,0.456,0.3432
9.96,0.232,0.3424
9.97,0.456,0.344
9.98,0.232,0.344
9.99,0.456,0.3448
10,0.208,0.3248
10.01,0.24,0.3496
10.02,0.456,0.3712
10.03,0.24,0.348
10.04,0.456,0.3704
10.05,0.448,0.3488
10.06,0.248,0.3496
10.07,0.456,0.348
10.08,0.24,0.3472
10.09,0.256,0.3464
10.1,0.456,0.344
10.11,0.456,0.3528
10.12,0.224,0.3528
10.13,0.464,0.3504
10.14,0.24,0.3496
10.15,0.456,0.3456
10.16,0.232,0.3456
10.17,0.448,0.344
10.18,0.232,0.344
10.19,0.232,0.344
10.2,0.544,0.3448
10.21,0.456,0.336
10.22,0.2,0.3152
10.23,0.456,0.3408
10.24,0.2,0.3408
10.25,0.456,0.3424
10.26,0.216,0.32
10.27,0.448,0.3432
10.28,0.232,0.3224
10.29,0.24,0.3448
10.3,0.456,0.344
10.31,0.248,0.3432
10.32,0.456,0.364
10.33,0.456,0.3424
10.34,0.216,0.3432
10.35,0.232,0.3448
10.36,0.448,0.3672
10.37,0.24,0.3448
10.38,0.456,0.3664
10.39,0.232,0.3448
10.4,0.448,0.3672
10.41,0.456,0.3448
10.42,0.24,0.3224
10.43,0.464,0.3456
10.44,0.232,0.344
10.45,0.456,0.3416
10.46,0.224,0.32
10.47,0.456,0.3432
10.48,0.24,0.3208
10.49,0.456,0.3416
10.5,0.224,0.3208
10.51,0.232,0.344
10.52,0.472,0.3656
10.53,0.448,0.3416
10.54,0.208,0.3432
10.55,0.24,0.3456
10.56,0.456,0.3664
10.57,0.232,0.3416
10.58,0.448,0.3424
10.59,0.248,0.3432
10.6,0.456,0.364
10.61,0.448,0.3424
10.62,0.232,0.3432
10.63,0.464,0.344
10.64,0.232,0.3432
10.65,0.448,0.3448
10.66,0.208,0.3456
10.67,0.24,0.348
10.68,0.456,0.3688
10.69,0.456,0.3464
10.7,0.24,0.3464
10.71,0.456,0.3448
10.72,0.24,0.3448
10.73,0.456,0.3432
10.74,0.248,0.3432
10.75,0.456,0.3392
10.76,0.232,0.34
10.77,0.448,0.3416
10.78,0.232,0.3208
10.79,0.456,0.3488
10.8,0.224,0.348
10.81,0.456,0.3504
10.82,0.224,0.3504
10.83,0.456,0.3512
10.84,0.208,0.3512
10.85,0.464,0.3552
10.86,0.248,0.3544
10.87,0.24,0.3536
10.88,0.512,0.3752
10.89,0.448,0.3472
10.9,0.248,0.3472
10.91,0.456,0.3464
10.92,0.232,0.3464
